"UniqID"	"R_Id_db4"	"ID"	"TAXONID"	"Original_n"	"TYPE"	"TYPESOURCE"	"DATACOL_SO"	"CITATION"	"FILENAME"	"INSTNAME"	"INSTCODE"	"STORAGE"	"IDSOURCE"	"ACCENUMB"	"DONORNAME"	"DONORCODE"	"DONORNUMB"	"DUPLSITE"	"RIdentifie"	"FullAccept"	"FAMILY"	"GENUS"	"SPECIES"	"SPAUTHOR"	"RANK1"	"SUBTAXA"	"SUBTAUTHOR"	"TAXON"	"DETBY"	"COLLECTOR"	"COLLNUMB"	"COLLDATE"	"COLLDD"	"COLLMM"	"COLLYY"	"NAMECTY"	"ORIGCTY"	"ADM1"	"ADM2"	"ADM3"	"ADM4"	"COLLSITE"	"GEOREFMETH"	"COORD_SOUR"	"DECLATITUD"	"DECLONGITU"	"COORDDATUM"	"COORDUNCER"	"ELEVATION"	"SAMPSTAT"	"final_cult"	"HABITAT_TX"	"COLLSRC"	"REMARKS"	"NOTES"	"COMMENTS"	"ISSUES"	"key"	"fieldsWith"	"locNA"	"bbc_126"	"bbc_370"	"bbc_585"	"CNRM_126"	"CNRM_370"	"CNRM_585"	"IPSL_126"	"IPSL_370"	"IPSL_585"	"BBC_126_B12"	"BBC_370_B12"	"BBC_585_B12"	"IPSL_126_B12"	"IPSL_370_B12"	"IPSL_585_B12"	"CNRM_126_B12"	"CNRM_370_B12"	"CNRM_585_B12"
"GE_222200"	1231059	648270	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 116033"	"IG 116033"	"ICARDA collector(s)"	"SYR002"	"NA"	"MEX002"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"MF34"	"19950606"	"NA"	"NA"	"NA"	"Turkey"	"TUR"	"NA"	"NA"	"NA"	"3 km after Baspinarlar from Spil to Kemalpassa on(R)"	"3 km after Baspinarlar from Spil to Kemalpassa on(R)"	"NA"	"NA"	38.5	27.2833	"NA"	"NA"	"750"	"100"	"WILD"	"NA"	"11"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  27.28330000_ 38.50000000"	35	"FALSE"	17.5625	17.5833339691	17.7666664124	17.7583332062	17.5416660309	17.8583335876	17.7000007629	17.75	17.6000003815	699	745	685	695	684	679	701	702	717
"GE_222224"	1231147	648208	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 136631"	"IG 136631"	"United States Department of Agriculture"	"NA"	"PI 572334"	"MEX002"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"km 19852"	"19810529"	"NA"	"NA"	"NA"	"Turkey"	"TUR"	"NA"	"NA"	"NA"	"Adana. Between Kozan and Feke"	"Adana. Between Kozan and Feke"	"NA"	"NA"	37.7	35.8833	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  35.88330000_ 37.70000000"	33	"FALSE"	14.3791666031	14.3583335876	14.5791664124	14.7124996185	14.375	14.7666664124	14.5249996185	14.5791664124	14.4541664124	615	634	629	648	624	665	651	657	661
"GE_222235"	1231134	5708386	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 160299"	"IG 160299"	"ICARDA collector(s)"	"SYR002"	"NA"	"NA"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"05-nov"	"20140506"	"NA"	"NA"	"NA"	"Cyprus"	"CYP"	"NA"	"NA"	"NA"	"Just before Ayos Demetrianos"	"Just before Ayos Demetrianos"	"NA"	"NA"	34.9018	32.5427	"NA"	"NA"	"551"	"100"	"WILD"	"NA"	"21"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  32.54270000_ 34.90180000"	34	"FALSE"	18.0750007629	18.0458335876	18.1208324432	18.1000003815	17.8833332062	18.1749992371	18.0791664124	18.1458339691	18.0166664124	500	489	502	519	505	528	492	494	498
"GE_222237"	1231142	5708428	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 160380"	"IG 160380"	"ICARDA collector(s)"	"SYR002"	"NA"	"NA"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"14-feb"	"20140509"	"NA"	"NA"	"NA"	"Cyprus"	"CYP"	"NA"	"NA"	"NA"	"Profitas Elias up the track up the village after water tank on the road to Farmaka"	"Profitas Elias up the track up the village after water tank on the road to Farmaka"	"NA"	"NA"	34.8925	33.1125	"NA"	"NA"	"1077"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  33.11250000_ 34.89250000"	33	"FALSE"	15.625	15.5749998093	15.6499996185	15.6416664124	15.4499998093	15.7375001907	15.6041669846	15.6499996185	15.5374994278	769	747	763	787	758	798	751	756	760
"GE_222239"	1231135	5702404	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 160452"	"IG 160452"	"Agricultural Research Institute"	"CYP001"	"NA"	"NA"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"Trust 127"	"20140523"	"NA"	"NA"	"NA"	"Cyprus"	"CYP"	"NA"	"NA"	"NA"	"Pano Panagia"	"Pano Panagia"	"NA"	"NA"	34.9056	32.6178	"NA"	"NA"	"900"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  32.61780000_ 34.90560000"	33	"FALSE"	16.6625003815	16.6208324432	16.6916675568	16.6666660309	16.4750003815	16.7583332062	16.6541671753	16.7166671753	16.6041660309	586	578	590	609	589	617	576	580	583
"GE_222292"	1231130	52112	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"Western Regional Plant Introduction Station, USDA-ARS, Washington State University"	"USA022"	"10"	"PI 572333"	"PI 572333"	"NA"	"NA"	"Hoffman # 85"	"USA005"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"km 18644"	"19810525"	"NA"	"NA"	"NA"	"Turkey"	"TUR"	"NA"	"NA"	"NA"	"Lengume Forest"	"Lengume Forest"	"NA"	"NA"	37.71666667	30.4	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"10"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  30.40000000_ 37.71666667"	33	"FALSE"	11.8874998093	11.9916667938	12.1791667938	12.1625003815	11.8916664124	12.2166662216	11.9875001907	12.0708332062	11.9749994278	520	551	521	526	516	515	530	525	533
"GE_222322"	1231140	4620273	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"Millennium Seed Bank Project, Seed Conservation Department, Royal Botanic Gardens, Kew, Wakehurst Place"	"GBR004"	"10"	"856894"	"856894"	"The Agricultural Research Institute (ARI) - Nicosia, Cyprus."	"NA"	"ARI01506"	"NA"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"The Agricultural Research Institute (ARI) - Nicosia, Cyprus."	"Trust 101"	"20140509"	"NA"	"NA"	"NA"	"Cyprus"	"CYP"	"NA"	"NA"	"NA"	"Nicosia District  Palaichori. Palaichori"	"Nicosia District  Palaichori. Palaichori"	"100"	"NA"	34.90528	33.09111	"NA"	"NA"	"1200"	"110"	"NATURAL"	"NA"	"10"	"Available via SMTA"	"NA"	"NA"	"NA"	"Lens_ervoides_  33.09111000_ 34.90528000"	37	"FALSE"	15.625	15.5749998093	15.6499996185	15.6416664124	15.4499998093	15.7375001907	15.6041669846	15.6499996185	15.5374994278	769	747	763	787	758	798	751	756	760
"GE_222324"	1231143	4620284	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"Millennium Seed Bank Project, Seed Conservation Department, Royal Botanic Gardens, Kew, Wakehurst Place"	"GBR004"	"10"	"856942"	"856942"	"The Agricultural Research Institute (ARI) - Nicosia, Cyprus."	"NA"	"NA"	"NA"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"The Agricultural Research Institute (ARI) - Nicosia, Cyprus."	"Trust 106"	"20140509"	"NA"	"NA"	"NA"	"Cyprus"	"CYP"	"NA"	"NA"	"NA"	"Nicosia District  Ora. Ora"	"Nicosia District  Ora. Ora"	"100"	"NA"	34.87556	33.16167	"NA"	"NA"	"615"	"110"	"NATURAL"	"NA"	"10"	"Available via SMTA"	"NA"	"NA"	"NA"	"Lens_ervoides_  33.16167000_ 34.87556000"	36	"FALSE"	15.2333335876	15.1916666031	15.2666664124	15.2458333969	15.0625	15.3375005722	15.2083330154	15.2458333969	15.1458330154	813	788	807	830	801	842	795	799	804
"GE_222326"	1231138	4620301	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"Millennium Seed Bank Project, Seed Conservation Department, Royal Botanic Gardens, Kew, Wakehurst Place"	"GBR004"	"10"	"857134"	"857134"	"The Agricultural Research Institute (ARI) - Nicosia, Cyprus."	"NA"	"NA"	"NA"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"The Agricultural Research Institute (ARI) - Nicosia, Cyprus."	"Trust 125"	"20140510"	"NA"	"NA"	"NA"	"Cyprus"	"CYP"	"NA"	"NA"	"NA"	"Nicosia District  Prodromos. Prodromos"	"Nicosia District  Prodromos. Prodromos"	"100"	"NA"	34.96417	32.8175	"NA"	"NA"	"1390"	"110"	"NATURAL"	"NA"	"10"	"Available via SMTA"	"NA"	"NA"	"NA"	"Lens_ervoides_  32.81750000_ 34.96417000"	36	"FALSE"	14.8374996185	14.7958335876	14.8666667938	14.8416671753	14.6374998093	14.9333333969	14.8249998093	14.875	14.75	737	725	740	763	739	771	726	729	732
"GE_222328"	1231136	4620321	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"Millennium Seed Bank Project, Seed Conservation Department, Royal Botanic Gardens, Kew, Wakehurst Place"	"GBR004"	"10"	"857352"	"857352"	"The Agricultural Research Institute (ARI) - Nicosia, Cyprus."	"NA"	"NA"	"NA"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"The Agricultural Research Institute (ARI) - Nicosia, Cyprus."	"Trust 147"	"20140522"	"NA"	"NA"	"NA"	"Cyprus"	"CYP"	"NA"	"NA"	"NA"	"Paphos District  Paphos forest. Stavros tis Psokas. Collected by the site of the road towards  Stavros tis Psokas, soon away from the station."	"Paphos District  Paphos forest. Stavros tis Psokas. Collected by the site of the road towards  Stavros tis Psokas, soon away from the station."	"100"	"NA"	35.01944	32.63111	"NA"	"NA"	"853"	"110"	"NATURAL"	"NA"	"10"	"Available via SMTA"	"NA"	"NA"	"NA"	"Lens_ervoides_  32.63111000_ 35.01944000"	36	"FALSE"	14.4708337784	14.4291667938	14.4916667938	14.4624996185	14.2791662216	14.5541667938	14.4499998093	14.5041666031	14.3999996185	725	715	728	753	730	761	714	717	720
"GE_222343"	1231230	3533609	123873	"Lens lamottei Czefr."	"G"	40	"NA"	"NA"	"DB2"	"Junta de Comunidades de Castilla-La Mancha. Consejería de Agricultura. Centro de Investigación Agraria de Albaladejito."	"ESP124"	"13"	"NC073304"	"NC073304"	"NA"	"NA"	"NA"	"NA"	539692	"Lens lamottei Czefr."	"Fabaceae"	"Lens"	"lamottei"	"Czefr."	"NA"	"NA"	"NA"	"Lens_lamottei"	"NA"	"NA"	"40"	"19990520"	"NA"	"NA"	"NA"	"Spain"	"ESP"	"NA"	"NA"	"NA"	"Valencia, Valencia, Xativa, laderas del castillo"	"Valencia, Valencia, Xativa, laderas del castillo"	"NA"	"NA"	38.983333	-0.516667	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"12"	"NA"	"NA"	"NA"	"NA"	"Lens_lamottei_  -0.51666700_ 38.98333300"	31	"FALSE"	17.9125003815	18.1916675568	18.3791675568	18.0166664124	17.9249992371	18.0750007629	18.1000003815	18.1416664124	18.1041660309	356	348	360	349	355	352	368	361	355
"GE_222349"	1231209	5737712	123873	"Lens lamottei Czefr."	"G"	40	"NA"	"NA"	"DB2"	"Centro Nacional de Recursos Fitogenéticos"	"ESP004"	"12"	"NC077084"	"NC077084"	"NA"	"NA"	"NA"	"NA"	539692	"Lens lamottei Czefr."	"Fabaceae"	"Lens"	"lamottei"	"Czefr."	"NA"	"NA"	"NA"	"Lens_lamottei"	"NA"	"NA"	"1"	"19840615"	"NA"	"NA"	"NA"	"Spain"	"ESP"	"NA"	"NA"	"NA"	"Andalucia, Sevilla, Moron de la Frontera, Cerro Esparteros"	"Andalucia, Sevilla, Moron de la Frontera, Cerro Esparteros"	"NA"	"NA"	37.083333	-5.5	"NA"	"NA"	"500"	"100"	"WILD"	"NA"	"12"	"NA"	"NA"	"NA"	"NA"	"Lens_lamottei_  -5.50000000_ 37.08333300"	32	"FALSE"	17.9041671753	18.0541667938	18.3416671753	18.1791667938	18.1041660309	18.2291660309	18.0083332062	18.0458335876	18.0958328247	624	631	592	579	593	562	627	622	617
"GE_222357"	1231207	648307	123873	"Lens lamottei Czefr."	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 110810"	"IG 110810"	"ICARDA collector(s)"	"SYR002"	"NA"	"MEX002"	539692	"Lens lamottei Czefr."	"Fabaceae"	"Lens"	"lamottei"	"Czefr."	"NA"	"NA"	"NA"	"Lens_lamottei"	"NA"	"NA"	"MF2"	"19940602"	"NA"	"NA"	"NA"	"Spain"	"ESP"	"NA"	"NA"	"NA"	"El Bosque turn R at Plaza del Toros 250m past fish from turn R at Huerta Majaceite"	"El Bosque turn R at Plaza del Toros 250m past fish from turn R at Huerta Majaceite"	"NA"	"NA"	36.75	-5.41667	"NA"	"NA"	"800"	"100"	"WILD"	"NA"	"61"	"NA"	"NA"	"NA"	"NA"	"Lens_lamottei_  -5.41667000_ 36.75000000"	35	"FALSE"	15.4750003815	15.5958337784	15.8708333969	15.7833328247	15.7250003815	15.8416671753	15.6083335876	15.6583328247	15.6916666031	751	763	717	698	718	669	756	744	741
